,id,buy
0,39162,1
1,39163,0
2,39164,0
3,39165,1
4,39166,0
5,39167,0
6,39168,1
7,39169,0
8,39170,0
9,39171,0
10,39172,0
11,39173,0
12,39174,0
13,39175,0
14,39176,0
15,39177,0
16,39178,0
17,39179,0
18,39180,0
19,39181,0
20,39182,0
21,39183,0
22,39184,0
23,39185,0
24,39186,0
25,39187,0
26,39188,0
27,39189,0
28,39190,0
29,39191,0
30,39192,0
31,39193,0
32,39194,0
33,39195,0
34,39196,0
35,39197,0
36,39198,0
37,39199,0
38,39200,0
39,39201,0
40,39202,0
41,39203,0
42,39204,0
43,39205,0
44,39206,0
45,39207,1
46,39208,0
47,39209,0
48,39210,0
49,39211,0
50,39212,0
51,39213,0
52,39214,0
53,39215,0
54,39216,0
55,39217,0
56,39218,0
57,39219,0
58,39220,0
59,39221,0
60,39222,0
61,39223,0
62,39224,0
63,39225,0
64,39226,0
65,39227,0
66,39228,0
67,39229,0
68,39230,0
69,39231,0
70,39232,0
71,39233,0
72,39234,0
73,39235,0
74,39236,0
75,39237,0
76,39238,0
77,39239,0
78,39240,0
79,39241,0
80,39242,0
81,39243,0
82,39244,0
83,39245,0
84,39246,0
85,39247,0
86,39248,0
87,39249,0
88,39250,0
89,39251,0
90,39252,0
91,39253,0
92,39254,0
93,39255,0
94,39256,0
95,39257,0
96,39258,0
97,39259,0
98,39260,0
99,39261,0
100,39262,0
101,39263,0
102,39264,0
103,39265,0
104,39266,0
105,39267,0
106,39268,0
107,39269,0
108,39270,0
109,39271,0
110,39272,0
111,39273,0
112,39274,0
113,39275,0
114,39276,0
115,39277,0
116,39278,0
117,39279,0
118,39280,0
119,39281,0
120,39282,0
121,39283,0
122,39284,0
123,39285,0
124,39286,0
125,39287,0
126,39288,0
127,39289,0
128,39290,0
129,39291,0
130,39292,0
131,39293,0
132,39294,0
133,39295,0
134,39296,0
135,39297,0
136,39298,0
137,39299,0
138,39300,0
139,39301,0
140,39302,0
141,39303,0
142,39304,0
143,39305,0
144,39306,0
145,39307,0
146,39308,0
147,39309,0
148,39310,0
149,39311,0
150,39312,0
151,39313,0
152,39314,0
153,39315,0
154,39316,0
155,39317,0
156,39318,0
157,39319,0
158,39320,0
159,39321,0
160,39322,0
161,39323,0
162,39324,0
163,39325,0
164,39326,0
165,39327,0
166,39328,0
167,39329,0
168,39330,0
169,39331,0
170,39332,0
171,39333,0
172,39334,0
173,39335,0
174,39336,0
175,39337,0
176,39338,0
177,39339,0
178,39340,0
179,39341,0
180,39342,0
181,39343,0
182,39344,0
183,39345,1
184,39346,1
185,39347,0
186,39348,0
187,39349,0
188,39350,0
189,39351,0
190,39352,0
191,39353,0
192,39354,0
193,39355,0
194,39356,0
195,39357,0
196,39358,0
197,39359,0
198,39360,0
199,39361,0
200,39362,0
201,39363,0
202,39364,0
203,39365,0
204,39366,0
205,39367,0
206,39368,0
207,39369,0
208,39370,0
209,39371,0
210,39372,0
211,39373,0
212,39374,0
213,39375,0
214,39376,0
215,39377,0
216,39378,0
217,39379,0
218,39380,0
219,39381,1
220,39382,0
221,39383,0
222,39384,0
223,39385,0
224,39386,0
225,39387,0
226,39388,0
227,39389,0
228,39390,0
229,39391,0
230,39392,0
231,39393,0
232,39394,0
233,39395,0
234,39396,0
235,39397,0
236,39398,0
237,39399,0
238,39400,0
239,39401,0
240,39402,0
241,39403,0
242,39404,0
243,39405,0
244,39406,0
245,39407,0
246,39408,0
247,39409,0
248,39410,0
249,39411,0
250,39412,0
251,39413,0
252,39414,0
253,39415,0
254,39416,0
255,39417,0
256,39418,0
257,39419,0
258,39420,0
259,39421,0
260,39422,0
261,39423,0
262,39424,0
263,39425,0
264,39426,0
265,39427,0
266,39428,0
267,39429,0
268,39430,0
269,39431,0
270,39432,0
271,39433,0
272,39434,0
273,39435,0
274,39436,0
275,39437,0
276,39438,0
277,39439,0
278,39440,0
279,39441,0
280,39442,0
281,39443,0
282,39444,0
283,39445,0
284,39446,0
285,39447,0
286,39448,0
287,39449,0
288,39450,0
289,39451,0
290,39452,0
291,39453,0
292,39454,0
293,39455,1
294,39456,0
295,39457,0
296,39458,0
297,39459,0
298,39460,0
299,39461,1
300,39462,0
301,39463,0
302,39464,0
303,39465,0
304,39466,0
305,39467,0
306,39468,0
307,39469,0
308,39470,0
309,39471,0
310,39472,0
311,39473,0
312,39474,0
313,39475,0
314,39476,0
315,39477,0
316,39478,1
317,39479,0
318,39480,0
319,39481,0
320,39482,0
321,39483,0
322,39484,0
323,39485,0
324,39486,0
325,39487,0
326,39488,0
327,39489,0
328,39490,0
329,39491,0
330,39492,0
331,39493,0
332,39494,0
333,39495,0
334,39496,0
335,39497,0
336,39498,0
337,39499,0
338,39500,0
339,39501,0
340,39502,0
341,39503,0
342,39504,0
343,39505,0
344,39506,0
345,39507,0
346,39508,0
347,39509,0
348,39510,0
349,39511,0
350,39512,0
351,39513,0
352,39514,0
353,39515,0
354,39516,0
355,39517,0
356,39518,0
357,39519,0
358,39520,0
359,39521,0
360,39522,0
361,39523,0
362,39524,0
363,39525,0
364,39526,0
365,39527,0
366,39528,0
367,39529,0
368,39530,0
369,39531,0
370,39532,0
371,39533,0
372,39534,0
373,39535,0
374,39536,0
375,39537,0
376,39538,0
377,39539,1
378,39540,0
379,39541,0
380,39542,0
381,39543,0
382,39544,0
383,39545,0
384,39546,0
385,39547,0
386,39548,0
387,39549,0
388,39550,0
389,39551,0
390,39552,0
391,39553,0
392,39554,0
393,39555,0
394,39556,0
395,39557,0
396,39558,0
397,39559,0
398,39560,1
399,39561,0
400,39562,0
401,39563,0
402,39564,0
403,39565,0
404,39566,0
405,39567,0
406,39568,0
407,39569,0
408,39570,0
409,39571,0
410,39572,0
411,39573,0
412,39574,0
413,39575,0
414,39576,0
415,39577,0
416,39578,0
417,39579,0
418,39580,0
419,39581,0
420,39582,0
421,39583,0
